category cat_id,blog_id,cat_title,cat_url,cat_desc,cat_position,cat_lft,cat_rgt
"46811","bfbe7b38ff563c323c884dbaf9b071d8","WP7","WP7","","0","18","19"
"45075","bfbe7b38ff563c323c884dbaf9b071d8","Duck","Duck","","0","16","17"
"52829","bfbe7b38ff563c323c884dbaf9b071d8","NuRep","NuRep","","0","20","21"
"58546","bfbe7b38ff563c323c884dbaf9b071d8","Event Sourcing","Event-Sourcing","","0","26","27"
"33883","bfbe7b38ff563c323c884dbaf9b071d8","Personal","Personal","","42007","10","11"
"30635","bfbe7b38ff563c323c884dbaf9b071d8","Domain Driven Design","Domain-Driven-Design","","39823","2","3"
"30774","bfbe7b38ff563c323c884dbaf9b071d8","Asp.net","Aspnet","","39920","4","5"
"34167","bfbe7b38ff563c323c884dbaf9b071d8","Design","Design","","42226","14","15"
"34021","bfbe7b38ff563c323c884dbaf9b071d8",".Net Framework","Net-Framework","","42109","12","13"
"52964","bfbe7b38ff563c323c884dbaf9b071d8","CQRS","CQRS","","0","22","23"
"32119","bfbe7b38ff563c323c884dbaf9b071d8","Linq","Linq","","40825","6","7"
"33597","bfbe7b38ff563c323c884dbaf9b071d8","Agile","Agile","","41826","8","9"
"57399","bfbe7b38ff563c323c884dbaf9b071d8","F#","F","","0","24","25"